Date,GME,AAPL,FB,AMZN,INTC,GS,BLK,NKE,MSFT,WFC
2016-11-17,23.459999084472656,27.487499237060547,117.79000091552734,756.4000244140625,35.02000045776367,209.6300048828125,371.3699951171875,51.59000015258789,60.63999938964844,52.4900016784668
2016-11-18,23.459999084472656,27.514999389648438,117.0199966430664,760.1599731445312,34.95000076293945,210.35000610351562,372.7799987792969,51.099998474121094,60.349998474121094,52.81999969482422
2016-11-21,23.459999084472656,27.9325008392334,121.7699966430664,780.0,34.97999954223633,211.0800018310547,374.57000732421875,51.279998779296875,60.86000061035156,52.119998931884766
2016-11-22,24.110000610351562,27.950000762939453,121.47000122070312,785.3300170898438,35.47999954223633,211.11000061035156,373.05999755859375,51.709999084472656,61.119998931884766,52.220001220703125
2016-11-23,26.059999465942383,27.8075008392334,120.83999633789062,780.1199951171875,35.20000076293945,212.30999755859375,372.989990234375,51.34000015258789,60.400001525878906,52.15999984741211
2016-11-25,25.81999969482422,27.947500228881836,120.37999725341797,780.3699951171875,35.439998626708984,211.3800048828125,373.6700134277344,51.52000045776367,60.529998779296875,52.619998931884766
2016-11-28,25.149999618530273,27.892499923706055,120.41000366210938,766.77001953125,35.5099983215332,210.35000610351562,368.6499938964844,51.0099983215332,60.61000061035156,51.58000183105469
2016-11-29,24.489999771118164,27.864999771118164,120.87000274658203,762.52001953125,35.310001373291016,211.75,368.54998779296875,50.630001068115234,61.09000015258789,51.86000061035156
2016-11-30,24.690000534057617,27.6299991607666,118.41999816894531,750.5700073242188,34.70000076293945,219.2899932861328,370.7900085449219,50.06999969482422,60.2599983215332,52.91999816894531
2016-12-01,24.639999389648438,27.372499465942383,115.0999984741211,743.6500244140625,33.7599983215332,226.6300048828125,377.20001220703125,50.650001525878906,59.20000076293945,54.34000015258789
2016-12-02,24.270000457763672,27.475000381469727,115.4000015258789,740.3400268554688,34.15999984741211,223.36000061035156,371.3599853515625,50.459999084472656,59.25,53.58000183105469
2016-12-05,24.520000457763672,27.27750015258789,117.43000030517578,759.3599853515625,34.38999938964844,228.5500030517578,374.3500061035156,51.849998474121094,60.220001220703125,54.349998474121094
2016-12-06,24.889999389648438,27.487499237060547,117.30999755859375,764.719970703125,34.720001220703125,231.3800048828125,373.9700012207031,50.56999969482422,59.95000076293945,55.54999923706055
2016-12-07,25.940000534057617,27.75749969482422,117.94999694824219,770.4199829101562,35.5,235.55999755859375,379.80999755859375,52.099998474121094,61.369998931884766,57.279998779296875
2016-12-08,25.969999313354492,28.030000686645508,118.91000366210938,767.3300170898438,35.70000076293945,241.4499969482422,390.3299865722656,51.54999923706055,61.0099983215332,57.290000915527344
2016-12-09,26.020000457763672,28.487499237060547,119.68000030517578,768.6599731445312,35.7599983215332,241.85000610351562,388.5400085449219,51.720001220703125,61.970001220703125,57.13999938964844
2016-12-12,26.420000076293945,28.325000762939453,117.7699966430664,760.1199951171875,35.970001220703125,237.1699981689453,390.2799987792969,51.540000915527344,62.16999816894531,55.779998779296875
2016-12-13,26.389999389648438,28.797500610351562,120.30999755859375,774.3400268554688,36.79999923706055,238.5500030517578,392.6400146484375,52.29999923706055,62.97999954223633,55.84000015258789
2016-12-14,25.280000686645508,28.797500610351562,120.20999908447266,768.8200073242188,36.54999923706055,239.92999267578125,390.0,51.790000915527344,62.68000030517578,54.70000076293945
2016-12-15,25.34000015258789,28.954999923706055,120.56999969482422,761.0,36.790000915527344,243.0,393.75,51.290000915527344,62.58000183105469,55.189998626708984
2016-12-16,25.420000076293945,28.99250030517578,119.87000274658203,757.77001953125,36.310001373291016,238.89999389648438,392.6199951171875,50.91999816894531,62.29999923706055,55.34000015258789
2016-12-19,25.899999618530273,29.15999984741211,119.23999786376953,766.0,36.88999938964844,239.07000732421875,389.7699890136719,50.849998474121094,63.619998931884766,55.220001220703125
2016-12-20,26.1200008392334,29.237499237060547,119.08999633789062,771.219970703125,37.209999084472656,243.08999633789062,398.45001220703125,51.790000915527344,63.540000915527344,56.099998474121094
2016-12-21,26.389999389648438,29.264999389648438,119.04000091552734,770.5999755859375,36.97999954223633,241.44000244140625,393.5299987792969,52.29999923706055,63.540000915527344,55.709999084472656
2016-12-22,25.059999465942383,29.072500228881836,117.4000015258789,766.3400268554688,36.93000030517578,240.1199951171875,387.1199951171875,52.13999938964844,63.54999923706055,55.75
2016-12-23,25.40999984741211,29.1299991607666,117.2699966430664,760.5900268554688,36.970001220703125,240.97000122070312,385.739990234375,51.90999984741211,63.2400016784668,55.959999084472656
2016-12-27,25.950000762939453,29.315000534057617,118.01000213623047,771.4000244140625,37.06999969482422,241.55999755859375,387.489990234375,51.290000915527344,63.279998779296875,55.95000076293945
2016-12-28,25.270000457763672,29.190000534057617,116.91999816894531,772.1300048828125,36.630001068115234,240.64999389648438,381.0299987792969,51.02000045776367,62.9900016784668,55.31999969482422
2016-12-29,25.34000015258789,29.1825008392334,116.3499984741211,765.1500244140625,36.65999984741211,238.17999267578125,379.0,51.060001373291016,62.900001525878906,54.84000015258789
2016-12-30,25.260000228881836,28.954999923706055,115.05000305175781,749.8699951171875,36.27000045776367,239.4499969482422,380.5400085449219,50.83000183105469,62.13999938964844,55.11000061035156
2017-01-03,25.3700008392334,29.037500381469727,116.86000061035156,753.6699829101562,36.599998474121094,241.57000732421875,386.42999267578125,51.97999954223633,62.58000183105469,56.0
2017-01-04,25.920000076293945,29.0049991607666,118.69000244140625,757.1799926757812,36.40999984741211,243.1300048828125,386.6600036621094,53.06999969482422,62.29999923706055,56.04999923706055
2017-01-05,25.0,29.15250015258789,120.66999816894531,780.4500122070312,36.349998474121094,241.32000732421875,382.5400085449219,53.060001373291016,62.29999923706055,55.18000030517578
2017-01-06,24.520000457763672,29.477500915527344,123.41000366210938,795.989990234375,36.47999954223633,244.89999389648438,384.29998779296875,53.90999984741211,62.84000015258789,55.040000915527344
2017-01-09,24.489999771118164,29.747499465942383,124.9000015258789,796.9199829101562,36.61000061035156,242.88999938964844,380.4200134277344,53.380001068115234,62.63999938964844,54.2400016784668
2017-01-10,24.639999389648438,29.77750015258789,124.3499984741211,795.9000244140625,36.540000915527344,242.57000732421875,380.30999755859375,53.11000061035156,62.619998931884766,54.619998931884766
2017-01-11,24.610000610351562,29.9375,126.08999633789062,799.02001953125,36.95000076293945,245.75999450683594,380.95001220703125,52.689998626708984,63.189998626708984,54.79999923706055
2017-01-12,24.719999313354492,29.8125,126.62000274658203,813.6400146484375,36.709999084472656,243.83999633789062,378.2900085449219,52.400001525878906,62.61000061035156,54.5
2017-01-13,22.729999542236328,29.760000228881836,128.33999633789062,817.1400146484375,36.790000915527344,244.3000030517578,379.3500061035156,52.91999816894531,62.70000076293945,55.310001373291016
2017-01-17,23.34000015258789,30.0,127.87000274658203,809.719970703125,36.79999923706055,235.74000549316406,374.79998779296875,53.650001525878906,62.529998779296875,53.779998779296875
2017-01-18,23.489999771118164,29.997499465942383,127.91999816894531,807.47998046875,36.7599983215332,234.2899932861328,378.0,53.27000045776367,62.5,54.27000045776367
2017-01-19,23.309999465942383,29.94499969482422,127.55000305175781,809.0399780273438,36.56999969482422,231.41000366210938,377.3500061035156,52.93000030517578,62.29999923706055,54.58000183105469
2017-01-20,23.579999923706055,30.0,127.04000091552734,808.3300170898438,36.939998626708984,232.1999969482422,381.3999938964844,53.20000076293945,62.7400016784668,55.06999969482422
2017-01-23,23.93000030517578,30.020000457763672,128.92999267578125,817.8800048828125,36.77000045776367,232.6699981689453,378.05999755859375,53.2400016784668,62.959999084472656,54.25
2017-01-24,23.8700008392334,29.99250030517578,129.3699951171875,822.4400024414062,37.619998931884766,233.67999267578125,381.3800048828125,53.45000076293945,63.52000045776367,54.70000076293945
2017-01-25,24.170000076293945,30.469999313354492,131.47999572753906,836.52001953125,37.79999923706055,237.25,388.3299865722656,53.86000061035156,63.68000030517578,56.619998931884766
2017-01-26,24.219999313354492,30.485000610351562,132.77999877929688,839.1500244140625,37.560001373291016,239.5800018310547,379.4200134277344,53.650001525878906,64.2699966430664,57.18000030517578
2017-01-27,24.309999465942383,30.487499237060547,132.17999267578125,835.77001953125,37.97999954223633,236.9499969482422,375.05999755859375,53.189998626708984,65.77999877929688,56.59000015258789
2017-01-30,24.18000030517578,30.407499313354492,130.97999572753906,830.3800048828125,37.41999816894531,233.89999389648438,375.17999267578125,53.08000183105469,65.12999725341797,56.08000183105469
2017-01-31,24.489999771118164,30.337499618530273,130.32000732421875,823.47998046875,36.81999969482422,229.32000732421875,373.9800109863281,52.900001525878906,64.6500015258789,56.33000183105469
2017-02-01,24.299999237060547,32.1875,133.22999572753906,832.3499755859375,36.52000045776367,230.6699981689453,373.0,53.02000045776367,63.58000183105469,55.90999984741211
