date,infl,corpr,Default Yield Spread (dfy) (rawdiff),excess_returns
1969-06-01,0.005494505494505475,0.0035,0.007199999999999998,-0.05800757054243045
1969-07-01,0.005464480874316724,0.0005,0.007599999999999996,-0.06263163165388622
1969-08-01,0.005434782608695787,-0.002,0.008900000000000005,0.037816633548380614
1969-09-01,0.002702702702702675,-0.0244,0.00910000000000001,-0.02840461444367572
1969-10-01,0.005390835579514697,0.0127,0.008900000000000005,0.040946346394155515
1969-11-01,0.00536193029490617,-0.0471,0.009000000000000008,-0.03766941573645878
1969-12-01,0.005333333333333412,-0.0134,0.009300000000000017,-0.022194274313436384
1970-01-01,0.0026525198938991412,0.0141,0.009499999999999995,-0.07937129179957736
1970-02-01,0.005291005291005346,0.0401,0.008499999999999994,0.0494419661952694
1970-03-01,0.0052631578947368585,-0.0045,0.007900000000000004,-0.001300184162866108
1970-04-01,0.00785340314136107,-0.025,0.0087,-0.09223917952926353
1970-05-01,0.0025974025974027093,-0.0163,0.008700000000000013,-0.06280846935655596
1970-06-01,0.005181347150258864,0.0001,0.0076999999999999985,-0.05218854398176584
1970-07-01,0.005154639175257714,0.0556,0.009600000000000011,0.07149364434521598
1970-08-01,0.0,0.01,0.013099999999999987,0.042416234716502105
1970-09-01,0.00512820512820511,0.0139,0.013000000000000012,0.030754827854736558
1970-10-01,0.005102040816326481,-0.0096,0.012999999999999998,-0.012823564743938816
1970-11-01,0.005076142131979822,0.0584,0.013300000000000006,0.04586414278383904
1970-12-01,0.005050505050504972,0.0372,0.014799999999999994,0.0554056282055748
1971-01-01,0.0,0.0532,0.013800000000000007,0.03939789677260544
1971-02-01,0.002512562814070307,-0.0366,0.0131,0.008461180804170656
1971-03-01,0.0025062656641603454,0.0258,0.012500000000000011,0.03637952296202174
1971-04-01,0.0024999999999999467,-0.0236,0.011999999999999997,0.03597802499680838
1971-05-01,0.004987531172069737,-0.0161,0.010899999999999993,-0.04186272908897136
1971-06-01,0.007444168734491496,0.0107,0.011099999999999999,-0.0004062937281179204
1971-07-01,0.0024630541871921707,-0.0025,0.011200000000000002,-0.0426240782838857
1971-08-01,0.002457002457002311,0.0554,0.011700000000000002,0.03399844178740945
1971-09-01,0.0,-0.0102,0.011499999999999996,-0.008049119035486182
1971-10-01,0.002450980392156854,0.0282,0.010900000000000007,-0.04276700001193542
1971-11-01,0.0,0.0029,0.011200000000000015,-0.003519125045614099
1971-12-01,0.004889975550122383,0.0223,0.011300000000000018,0.08498533957971781
1972-01-01,0.0,-0.0033,0.010399999999999993,0.017682621460466078
1972-02-01,0.0048661800486617945,0.0107,0.009599999999999997,0.02520367251296091
1972-03-01,0.002421307506053294,0.0024,0.009999999999999995,0.005598112369325539
1972-04-01,0.0024154589371980784,0.0035,0.009400000000000006,0.003860415785842744
1972-05-01,0.002409638554216942,0.0163,0.009300000000000003,0.01661074451099787
1972-06-01,0.0024038461538462563,-0.0068,0.009699999999999986,-0.022332664343948525
1972-07-01,0.004796163069544335,0.003,0.0102,0.0016182622425052668
1972-08-01,0.0023866348448686736,0.0072,0.009999999999999995,0.03386180077227054
1972-09-01,0.0023809523809523725,0.0031,0.0087,-0.005939198865694981
1972-10-01,0.004750593824227822,0.0101,0.008500000000000008,0.007634767843472726
1972-11-01,0.0023640661938535423,0.0249,0.0087,0.04415076608110028
1972-12-01,0.002358490566037874,-0.0004,0.008499999999999994,0.010351867532410611
1973-01-01,0.0023529411764706687,-0.0054,0.007499999999999993,-0.01924425710456283
1973-02-01,0.007042253521126751,0.0023,0.007499999999999993,-0.03922989204207495
1973-03-01,0.00932400932400923,0.0045,0.00739999999999999,-0.003663881877441773
1973-04-01,0.006928406466512715,0.0061,0.008300000000000002,-0.04351733027451034
1973-05-01,0.006880733944954143,-0.0039,0.0076999999999999985,-0.021440262591303834
1973-06-01,0.006833712984054774,-0.0056,0.0076000000000000095,-0.009100865343756322
1973-07-01,0.002262443438913797,-0.0476,0.007900000000000004,0.034074321695618706
1973-08-01,0.01805869074492117,0.0356,0.008499999999999994,-0.04108394797671377
1973-09-01,0.0022172949002217113,0.0356,0.010000000000000009,0.035809065380730504
1973-10-01,0.008849557522123908,-0.0066,0.00810000000000001,-0.005246545432494859
1973-11-01,0.006578947368421018,0.0078,0.007499999999999993,-0.1165575230539519
1973-12-01,0.0065359477124184995,-0.0089,0.008000000000000007,0.013056812085051345
1974-01-01,0.008658008658008587,-0.0053,0.006500000000000006,-0.01341216173843654
1974-02-01,0.012875536480686733,0.0009,0.006799999999999987,-0.006462351799114557
1974-03-01,0.012711864406779627,-0.0307,0.006099999999999994,-0.025829688982563388
1974-04-01,0.004184100418409997,-0.0341,0.006199999999999983,-0.04335815528232594
1974-05-01,0.012499999999999956,0.0105,0.006800000000000014,-0.03772846198058404
1974-06-01,0.008230452674897082,-0.0285,0.00799999999999998,-0.01727397167807076
1974-07-01,0.008163265306122325,-0.0211,0.0076000000000000095,-0.081081623576995
1974-08-01,0.012145748987854255,-0.0268,0.0076999999999999985,-0.09216684927364538
1974-09-01,0.01200000000000001,0.0174,0.009400000000000006,-0.1227263991164842
1974-10-01,0.009881422924901129,0.0885,0.012100000000000014,0.16199891808426858
1974-11-01,0.007827788649706457,0.0117,0.01709999999999999,-0.05429638711390532
1974-12-01,0.007766990291262044,-0.0075,0.0174,-0.022775764208998288
1975-01-01,0.003853564547206201,0.0596,0.019799999999999998,0.12093450696756672
1975-02-01,0.007677543186180413,0.0137,0.0203,0.05931027298250077
1975-03-01,0.003809523809523929,-0.0247,0.018100000000000005,0.02126266100449036
1975-04-01,0.003795066413662118,-0.0052,0.01630000000000001,0.04638084507573832
1975-05-01,0.005671077504725952,0.0106,0.017899999999999985,0.04308045990553451
1975-06-01,0.007518796992481258,0.0304,0.01849999999999999,0.04347043543961714
1975-07-01,0.011194029850746245,-0.003,0.017100000000000018,-0.06897059727838614
1975-08-01,0.0018450184501843658,-0.0175,0.016399999999999998,-0.02231187434613821
1975-09-01,0.005524861878453136,-0.0126,0.016600000000000004,-0.03625922754697311
1975-10-01,0.005494505494505475,0.0553,0.01759999999999999,0.05950588209058565
1975-11-01,0.007285974499089187,-0.0088,0.01780000000000001,0.023978228760340052
1975-12-01,0.003616636528029016,0.0442,0.017700000000000007,-0.012907881331983367
1976-01-01,0.0018018018018017834,0.0188,0.018100000000000005,0.11664906841760352
1976-02-01,0.003597122302158251,0.0061,0.0169,-0.011720782922666914
1976-03-01,0.0017921146953405742,0.0167,0.016,0.029681116416941714
1976-04-01,0.003577817531305927,-0.0015,0.015399999999999983,-0.012150915005744518
1976-05-01,0.007130124777183555,-0.0103,0.012799999999999992,-0.014956126722784421
1976-06-01,0.005309734513274211,0.015,0.012700000000000003,0.039631063454149656
1976-07-01,0.00528169014084523,0.0149,0.0126,-0.009701936083796065
1976-08-01,0.005253940455341555,0.0231,0.011900000000000008,-0.006230425447024475
1976-09-01,0.0034843205574912606,0.0167,0.010199999999999987,0.02128973010197384
1976-10-01,0.005208333333333259,0.007,0.0097,-0.0231629852945684
1976-11-01,0.0017271157167531026,0.0319,0.009800000000000003,-0.008523371230400808
1976-12-01,0.0034482758620690834,0.0347,0.01139999999999998,0.05163825493776408
1977-01-01,0.005154639175257714,-0.0303,0.011200000000000002,-0.05078446142141974
1977-02-01,0.01025641025641022,-0.002,0.010800000000000004,-0.021701294789211286
1977-03-01,0.006768189509306133,0.0094,0.010199999999999987,-0.014277524788811365
1977-04-01,0.008403361344537785,0.01,0.010300000000000017,-1.8160211170147912e-06
1977-05-01,0.004999999999999893,0.0106,0.009599999999999997,-0.02353678949314949
1977-06-01,0.0066334991708127955,0.0175,0.009599999999999997,0.044975943353716685
1977-07-01,0.0049423393739702615,-0.0005,0.009299999999999989,-0.016707186868735752
1977-08-01,0.003278688524590123,0.0136,0.00839999999999999,-0.0216070046753956
1977-09-01,0.0032679738562091387,-0.0022,0.008800000000000016,-0.0028953048192983683
1977-10-01,0.0032573289902280145,-0.0038,0.008500000000000021,-0.04419397382602784
1977-11-01,0.004870129870129913,0.0061,0.0087,0.026019597344504212
1977-12-01,0.003231017770597866,-0.0105,0.008000000000000007,0.0020393839194005215
1978-01-01,0.006441223832528209,-0.0089,0.007599999999999996,-0.062013327236257285
1978-02-01,0.006399999999999961,0.0051,0.007299999999999987,-0.02480780128457622
1978-03-01,0.007949125596184325,0.0042,0.007499999999999993,0.024114868440790443
1978-04-01,0.007886435331230235,-0.0023,0.007599999999999996,0.08417894303236946
1978-05-01,0.009389671361502261,-0.0108,0.008000000000000007,0.0033106012500488877
1978-06-01,0.010852713178294726,0.0023,0.008400000000000005,-0.01870223359028593
1978-07-01,0.0076687116564417845,0.0101,0.007199999999999998,0.05240414975975565
1978-08-01,0.004566210045662045,0.0257,0.007900000000000018,0.024344219245234604
1978-09-01,0.007575757575757569,-0.0048,0.007300000000000015,-0.009381400765979282
1978-10-01,0.009022556390977376,-0.0205,0.006999999999999992,-0.09386814227792814
1978-11-01,0.0044709388971686526,0.0134,0.008000000000000007,0.01408661633681197
1978-12-01,0.004451038575667532,-0.0133,0.0077999999999999875,0.01148512812613392
1979-01-01,0.008862629246676468,0.0184,0.008800000000000002,0.036310217431222466
1979-02-01,0.01171303074670571,-0.0128,0.008199999999999999,-0.03936230969229362
1979-03-01,0.01013024602026058,0.0106,0.008900000000000005,0.05131715274429193
1979-04-01,0.011461318051575908,-0.0052,0.009499999999999995,-0.00203000219321358
1979-05-01,0.012747875354107707,0.0228,0.0097,-0.030084410634440686
1979-06-01,0.01118881118881121,0.0269,0.010900000000000007,0.03487979856031997
1979-07-01,0.011065006915629283,-0.0031,0.010899999999999993,0.005377675129598232
1979-08-01,0.009575923392612928,0.0006,0.011199999999999988,0.049534746652156555
1979-09-01,0.01084010840108407,-0.0179,0.010999999999999996,-0.004099792657641181
1979-10-01,0.008042895442359255,-0.089,0.012700000000000003,-0.07275813897098411
1979-11-01,0.009308510638297962,0.0222,0.012300000000000005,0.037122733263829776
1979-12-01,0.010540184453227797,-0.0108,0.013200000000000003,0.011629135163380442
1980-01-01,0.014341590612777066,-0.0645,0.013300000000000006,0.05378543317233909
1980-02-01,0.01413881748071999,-0.0665,0.011900000000000008,-0.009064028017187623
1980-03-01,0.015209125475285079,-0.0062,0.014899999999999969,-0.10916044198280683
1980-04-01,0.011235955056179803,0.1376,0.021500000000000005,0.033124068264549444
1980-05-01,0.00987654320987641,0.056,0.021800000000000014,0.04288557903779954
1980-06-01,0.011002444987775029,0.0341,0.021300000000000013,0.025201699482381816
1980-07-01,0.0,-0.0429,0.015799999999999995,0.06383657436345133
1980-08-01,0.007255139056831839,-0.0445,0.015100000000000002,0.0035392521176631107
1980-09-01,0.008403361344537785,-0.0237,0.01679999999999998,0.021699340565195797
1980-10-01,0.00952380952380949,-0.0159,0.01920000000000001,0.010508908989454177
1980-11-01,0.008254716981132004,0.0017,0.016699999999999993,0.09641233684450495
1980-12-01,0.009356725146198785,0.0248,0.01930000000000001,-0.04319299913227448
1981-01-01,0.008111239860950192,-0.013,0.022199999999999998,-0.05215432258332534
1981-02-01,0.010344827586207028,-0.0269,0.020199999999999996,0.006538028267446469
1981-03-01,0.0068259385665527805,0.0311,0.020100000000000007,0.0277806437711825
1981-04-01,0.006779661016949046,-0.0769,0.01680000000000001,-0.030292406962031806
1981-05-01,0.007856341189674598,0.0595,0.01630000000000001,-0.009163409027408132
1981-06-01,0.008908685968819663,0.0023,0.02049999999999999,-0.019849645041244358
1981-07-01,0.011037527593819041,-0.0372,0.0179,-0.010515247551348616
1981-08-01,0.007641921397379958,-0.0345,0.014499999999999985,-0.0705034994467538
1981-09-01,0.009750812567713929,-0.0199,0.014300000000000007,-0.06155509408266183
1981-10-01,0.0021459227467810482,0.0521,0.017100000000000004,0.04153051544131414
1981-11-01,0.0032119914346895317,0.1267,0.021700000000000025,0.03023895694162408
1981-12-01,0.0032017075773744796,-0.058,0.0232,-0.0342668240368363
1982-01-01,0.0031914893617019935,-0.0129,0.019200000000000023,-0.02093422509762776
1982-02-01,0.0031813361611876534,0.0312,0.019100000000000006,-0.06481934241533029
1982-03-01,-0.0010570824524311906,0.0306,0.022400000000000003,-0.014965307627043591
1982-04-01,0.004232804232804366,0.0338,0.0232,0.033545104971361185
1982-05-01,0.009483667017913477,0.0245,0.023799999999999988,-0.044711746439816846
1982-06-01,0.012526096033403045,-0.0468,0.021100000000000008,-0.024712148682508317
1982-07-01,0.005154639175257714,0.054,0.021900000000000003,-0.028180949173478402
1982-08-01,0.002051282051282133,0.0837,0.026100000000000012,0.11314436880256357
1982-09-01,0.0020470829068577334,0.0623,0.026900000000000007,0.007254778779297692
1982-10-01,0.003064351378958108,0.0759,0.026100000000000026,0.10873707350166285
1982-11-01,-0.0020366598778004397,0.0201,0.026200000000000015,0.033951321120314376
1982-12-01,-0.004081632653061273,0.0108,0.023099999999999996,0.012528753995223612
1983-01-01,0.002049180327868827,-0.0094,0.021500000000000005,0.030182012442187784
1983-02-01,0.0010224948875257045,0.0428,0.019399999999999987,0.016676868859734722
1983-03-01,0.0,0.0072,0.018799999999999997,0.030559292108433195
1983-04-01,0.007150153217568844,0.0548,0.017799999999999996,0.07132882622606262
1983-05-01,0.006085192697768749,-0.0324,0.01629999999999998,-0.01569017641082791
1983-06-01,0.003024193548387011,-0.0046,0.01629999999999998,0.03196405163319664
1983-07-01,0.004020100502512669,-0.0455,0.012400000000000022,-0.0368461845262547
1983-08-01,0.0030030030030030463,0.0051,0.011300000000000004,0.0072570160481764635
1983-09-01,0.004990019960079861,0.0392,0.011800000000000019,0.006070725870147837
1983-10-01,0.002979145978152964,-0.0025,0.0121,-0.019192340996542493
1983-11-01,0.001980198019801982,0.0142,0.011999999999999997,0.013961520701541892
1983-12-01,0.0009881422924900019,-0.0033,0.011800000000000005,-0.012551806759122403
1984-01-01,0.005923000987166915,0.027,0.014500000000000013,-0.013185082305125665
1984-02-01,0.004906771344455274,-0.0172,0.015099999999999988,-0.04216564397189016
1984-03-01,0.001953124999999778,-0.0235,0.01419999999999999,0.00995687365840689
1984-04-01,0.004873294346978474,-0.0073,0.015000000000000013,0.001126486479304573
1984-05-01,0.0029097963142581396,-0.0483,0.014600000000000002,-0.06313416061860441
1984-06-01,0.0029013539651836506,0.0199,0.014999999999999986,0.013946082199045869
1984-07-01,0.0038572806171648377,0.0586,0.017100000000000004,-0.020595009009581014
1984-08-01,0.003842459173871271,0.0307,0.017600000000000032,0.10171017934694257
1984-09-01,0.004784688995215225,0.0314,0.0169,-0.00837713282034375
1984-10-01,0.0028571428571428914,0.0572,0.0131,-0.006332306167056148
1984-11-01,0.0,0.0212,0.011900000000000008,-0.018601716728730816
1984-12-01,0.0,0.0128,0.012700000000000003,0.01972646619604586
1985-01-01,0.0018993352326686086,0.0325,0.011799999999999991,0.07109854036535052
1985-02-01,0.004739336492890933,-0.0373,0.010999999999999996,0.006387595056873724
1985-03-01,0.0037735849056603765,0.0179,0.011299999999999977,-0.0055917655283868216
1985-04-01,0.0046992481203007586,0.0296,0.012799999999999992,-0.008232257834208239
1985-05-01,0.0037418147801682178,0.082,0.014299999999999993,0.050842119169731186
1985-06-01,0.002795899347623365,0.0083,0.014600000000000002,0.009996003146417524
1985-07-01,0.0018587360594795044,-0.0121,0.014599999999999988,-0.007654610781800203
1985-08-01,0.0018552875695732052,0.026,0.014499999999999999,-0.01404570662673726
1985-09-01,0.002777777777777768,0.0071,0.014100000000000001,-0.0371358966066827
